index,Luminance Non-Windowed,C1,C2,C3,Time,Sound Amplitude,Respiration Synchrony,Dancer Acceleration Non-Windowed,Dancer Distance Non-Windowed,Choreographer/Performer Rating,Dramaturg Rating,Collaborator/Performer Rating,Dancer Acceleration,Dancer Distance,Audio RMS,Audio Pulse Clarity,Luminance
503,0.834601526,0.53193372,0.79803652,2.1201723,503.0,-0.827,-0.46989572,2.057354534,0.324532941,0.767272727,0.46187175,0.351395731,1.799300957,0.545550315,0.020221767,0.188435181,55.11951036
504,0.828193775,0.97529155,-0.13588805,0.72439116,504.0,0.643,-0.22024766,0.927038403,0.502571511,0.767272727,0.46187175,0.351395731,1.797410412,0.59342394,0.004000712,0.102021901,55.18618512
505,0.786949989,1.5823864,-0.53204697,-0.4876726,505.0,-0.0425,-0.59292996,1.370769723,0.574717201,0.767272727,0.477469671,0.351395731,1.599548492,0.599090031,0.010736741,0.110572411,55.2895959
506,0.801852401,1.2846178,-0.99152124,-0.67160523,506.0,0.232,-0.54972774,3.247060566,0.643198296,0.767272727,0.642980936,0.351395731,1.564354734,0.598475566,0.00386532,0.107439769,55.18300439
507,0.841637686,1.1624465,-1.4310076,-1.2926702,507.0,-0.36,-0.46279117,1.792136279,0.610132584,0.767272727,0.642980936,0.351395731,1.588151665,0.57948224,0.002232005,0.112408746,55.07305961
508,0.834805627,0.43519959,-1.1555979,-1.2868042,508.0,-0.00908,-0.54991448,1.04852807,0.608758175,0.767272727,0.642980936,0.351395731,1.618489654,0.567337612,0.00533945,0.073583217,55.02245904
509,0.845081588,-0.013852088,-1.0343816,-0.94898701,509.0,0.604,-0.59382373,1.212419998,0.606397764,0.767272727,0.644714038,0.351395731,1.567268558,0.55125708,0.025271547,0.11456535,54.93838022
510,0.860616963,-0.66060382,-0.88245505,-1.0276881,510.0,-0.836,-0.3308388,2.724709872,0.610243121,0.767272727,0.650779896,0.351395731,1.59431345,0.535059792,0.038413277,0.173620787,55.2603123
511,0.789167173,-0.86337721,-0.72988135,-1.2303603,511.0,0.726,-0.24043007,2.006857663,0.578942137,0.767272727,0.651646447,0.351395731,1.559720359,0.501383179,0.006723413,0.168956821,56.20231525
512,0.777607666,0.42563015,-0.83322102,-1.0126811,512.0,-0.966,-0.46115696,2.8619374,0.548191279,0.767272727,0.707105719,0.351395731,1.611460908,0.450539597,0.010957523,0.168130629,57.12161687
513,0.808187344,1.4786998,-0.70135134,-0.8734951,513.0,0.682,-0.51441097,1.993335999,0.54851401,0.767272727,0.709705373,0.351395731,1.582530432,0.388463701,0.005234343,0.176739872,57.86936641
514,0.792262215,1.6484998,-0.71138185,-1.0322399,514.0,-0.0164,-0.76319861,1.859415861,0.520442074,0.767272727,0.709705373,0.351395731,1.601425896,0.381833201,0.003117417,0.172914216,58.58474312
515,0.812397416,1.6982492,-0.62575364,-0.96583676,515.0,0.301,-0.92055935,2.054706414,0.480693139,0.767272727,0.719237435,0.351395731,1.734801073,0.425231675,0.007198396,0.139289101,58.79923914
516,1.196708337,1.5906287,-0.64626837,-0.53400612,516.0,0.276,-1.07701,3.528004596,0.342952911,0.767272727,0.727902946,0.351395731,2.113057637,0.512265781,0.020651683,0.151949228,58.42675766
517,1.155242788,0.78571904,0.14537147,0.51302683,517.0,-0.762,-0.92444736,1.619958083,0.214568796,0.767272727,0.755632582,0.351395731,2.002225048,0.621199376,0.004214043,0.15220241,57.95939435
518,1.157305537,0.70454252,0.049983893,1.3714855,518.0,1.0,-1.1371185,1.177695564,0.268311898,0.767272727,0.755632582,0.351395731,2.085689686,0.700801123,0.016103328,0.135062061,57.41143753
519,1.117941588,0.54193574,0.89526039,2.7398396,519.0,-0.682,-1.1929071,1.274235055,0.635799984,0.767272727,0.755632582,0.351395731,2.142380935,0.666726283,0.001732256,0.108056022,56.80447098
520,1.095842244,0.5447377,0.54407477,4.3701844,520.0,0.737,-1.1999592,6.239362466,0.793368725,0.767272727,0.727036395,0.351395731,2.071219016,0.563307031,0.012793944,0.112687649,56.29309843
521,1.036669639,0.28567299,0.42678314,4.93292,521.0,-1.762439216,-1.068451,1.393014396,0.878833275,0.767272727,0.70017331,0.351395731,1.807595362,0.434666696,0.013395307,0.118491197,55.86519397
522,0.982147088,-0.13348089,-0.15465544,4.3432937,522.0,0.831,-1.0190072,1.288257759,0.813948214,0.767272727,0.696707106,0.351395731,1.829075267,0.311833231,0.009938897,0.143234979,55.52862418
523,0.941636255,-0.68345356,0.080772534,4.7261524,523.0,1.0,-0.96552771,1.926029304,0.420330323,0.767272727,0.696707106,0.673234811,1.797142593,0.229808614,0.009620187,0.141846627,55.37820956
524,0.874237941,-0.76331973,-0.73450834,3.3367071,524.0,-1.15,-0.85420114,1.04320383,0.24458797,0.767272727,0.70017331,0.673234811,1.764304224,0.221521574,0.004634644,0.158865612,55.34494571
525,0.850784635,-1.0181084,-0.12786207,1.800805,525.0,0.162,-0.67207938,1.730970092,0.1781308,0.767272727,0.70017331,0.673234811,1.764906003,0.276665395,0.015126122,0.145273158,55.33127581
526,0.831047155,-0.99324775,0.32407168,0.61808926,526.0,0.522,-0.79087865,2.391861451,0.214324775,0.767272727,0.70017331,0.596880131,1.712205891,0.335542527,0.006913849,0.239648583,55.34245442
527,0.838074811,-0.77409345,0.61408919,0.51419348,527.0,-0.145,-0.89871192,2.569771288,0.214324775,0.767272727,0.70017331,0.356321839,1.673969012,0.394856858,0.002920128,0.258732551,55.35988243
528,0.8392138,-0.49983841,0.2131903,-0.14136271,528.0,0.28,-0.88299727,1.067189323,0.211065851,0.767272727,0.70017331,0.26272578,1.599842601,0.445255211,0.008597043,0.246575285,55.36329537
529,0.835476012,-0.6928553,0.57663,-0.18348369,529.0,-0.622,-0.97265863,1.893731915,0.440550726,0.767272727,0.519930676,0.26272578,1.596560807,0.503520368,0.003606404,0.133508797,55.34836597
530,0.837808291,-0.47406617,1.2085037,0.48278332,530.0,0.323,-0.92308903,2.320991996,0.492927636,0.767272727,0.450606586,0.26272578,1.634169981,0.534170771,0.007089538,0.102682135,55.35354474
